Category: All categories

Region,can i change my vote: (10/13/24 - 11/13/24)
North Carolina,100
Florida,95
Pennsylvania,95
Arizona,91
New York,89
Michigan,83
New Jersey,75
Wisconsin,75
District of Columbia,70
Oklahoma,70
Texas,70
Nebraska,68
Minnesota,66
Idaho,66
Alabama,64
Kansas,64
Missouri,64
Iowa,62
Maine,62
Kentucky,60
Virginia,60
Maryland,60
California,58
Utah,58
Connecticut,56
Illinois,56
Georgia,56
Arkansas,56
Ohio,54
New Hampshire,54
Montana,54
New Mexico,52
Indiana,52
Colorado,52
Tennessee,50
Nevada,50
Louisiana,50
North Dakota,50
West Virginia,50
Massachusetts,47
South Carolina,45
Wyoming,45
Washington,43
Oregon,43
Mississippi,41
Vermont,41
Delaware,41
Rhode Island,37
South Dakota,35
Hawaii,25
Alaska,
