Category: All categories

Region,change vote presidential election: (10/13/24 - 11/13/24)
Colorado,100
Montana,28
Oklahoma,28
Rhode Island,23
New Mexico,23
Nebraska,19
Indiana,19
Kansas,19
Georgia,19
South Carolina,19
Wisconsin,14
Utah,14
Pennsylvania,14
Texas,14
Florida,14
Mississippi,14
Alabama,14
Maryland,14
Iowa,14
Connecticut,14
Arizona,14
Missouri,9
North Carolina,9
Tennessee,9
California,9
Ohio,9
Louisiana,9
Oregon,9
Virginia,9
Arkansas,9
New York,9
Nevada,9
Kentucky,9
New Jersey,9
Washington,9
Massachusetts,9
Illinois,9
Minnesota,9
Michigan,9
Alaska,
New Hampshire,
South Dakota,
North Dakota,
Maine,
Idaho,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
