Date,Interest_1,Interest_2
2024-10-13,0,0
2024-10-14,7,0
2024-10-15,7,0
2024-10-16,0,0
2024-10-17,10,0
2024-10-18,0,0
2024-10-19,0,0
2024-10-20,8,0
2024-10-21,19,0
2024-10-22,15,0
2024-10-23,8,0
2024-10-24,13,0
2024-10-25,15,0
2024-10-26,13,0
2024-10-27,11,0
2024-10-28,24,0
2024-10-29,21,0
2024-10-30,24,23
2024-10-31,20,22
2024-11-01,21,21
2024-11-02,19,12
2024-11-03,27,19
2024-11-04,49,40
2024-11-05,100,57
2024-11-06,8,100
2024-11-07,2,27
2024-11-08,2,16
2024-11-09,19,14
2024-11-10,27,17
2024-11-11,46,17
2024-11-12,90,19
2024-11-13,97,21
